fips,region_num,region_name,division_num,division_name
9,1,Northeast,1,New England
23,1,Northeast,1,New England
25,1,Northeast,1,New England
33,1,Northeast,1,New England
44,1,Northeast,1,New England
50,1,Northeast,1,New England
34,1,Northeast,2,Middle Atlantic
36,1,Northeast,2,Middle Atlantic
42,1,Northeast,2,Middle Atlantic
18,2,Midwest,3,East North Central
17,2,Midwest,3,East North Central
26,2,Midwest,3,East North Central
39,2,Midwest,3,East North Central
55,2,Midwest,3,East North Central
19,2,Midwest,4,West North Central
20,2,Midwest,4,West North Central
27,2,Midwest,4,West North Central
29,2,Midwest,4,West North Central
31,2,Midwest,4,West North Central
38,2,Midwest,4,West North Central
46,2,Midwest,4,West North Central
10,3,South,5,South Atlantic
11,3,South,5,South Atlantic
12,3,South,5,South Atlantic
13,3,South,5,South Atlantic
24,3,South,5,South Atlantic
37,3,South,5,South Atlantic
45,3,South,5,South Atlantic
51,3,South,5,South Atlantic
54,3,South,5,South Atlantic
1,3,South,6,East South Central
21,3,South,6,East South Central
28,3,South,6,East South Central
47,3,South,6,East South Central
5,3,South,7,West South Central
22,3,South,7,West South Central
40,3,South,7,West South Central
48,3,South,7,West South Central
4,4,West,8,Mountain
8,4,West,8,Mountain
16,4,West,8,Mountain
35,4,West,8,Mountain
30,4,West,8,Mountain
49,4,West,8,Mountain
32,4,West,8,Mountain
56,4,West,8,Mountain
2,4,West,9,Pacific
6,4,West,9,Pacific
15,4,West,9,Pacific
41,4,West,9,Pacific
53,4,West,9,Pacific
